Name,Scientific Name,Indicator or Other Notes,Category,State,Kingdom,Phylum,Class,Order,Family,Genus,Conservation status,Length Min (cm),Length Max (cm),Body Mass Min (g),Body Mass Max (g),Wingspan Min (cm),Wingspan Max (cm)
Black-bellied whistling-duck,Dendrocygna autumnalis,(A),"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,LC,47,56,652,1020,76,94
Fulvous whistling-duck,Dendrocygna bicolor,(A),"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,LC,45,53,712,1050,85,93
Snow goose,Anser caerulescens,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,LC,64,79,2050,4050,135,165
Ross's goose,Anser rossii,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,LC,57.3,64,1066,1567,113,116
Greater white-fronted goose,Anser albifrons,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anser,LC,64,81,1930,3310,130,165
Brant,Branta bernicla,(C),"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,LC,55,66,880,2200,206,121
Cackling goose,Branta hutchinsii,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,LC,63,65,1398,2380,108,111
Canada goose,Branta canadensis,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Branta,LC,75,110,2600,6500,127,185
Mute swan,Cygnus olor,(I),"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,LC,125,170,9200,14300,200,240
Trumpeter swan,Cygnus buccinator,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,LC,138,180,7000,13600,185,250
Tundra swan,Cygnus columbianus,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Cygnus,LC,115,150,3400,9600,168,211
Wood duck,Aix sponsa,,"Ducks, geese, and waterfowl",Minnesota,Animalia,Chordata,Aves,Anseriformes,Anatidae,Aix,LC,47,54,454,862,66,73
