Name,ScientificName,Category,Order,Family,Genus,ConservationStatus,MinLength,MaxLength,MinBodyMass,MaxBodyMass,MinWingspan,MaxWingspan
Eurasian collared-dove,Streptopelia decaocto,Pigeons/Doves,Columbiformes,Columbidae,Streptopelia,LC,32,32,125,240,47,55
Passenger pigeon,Ectopistes migratorius,Pigeons/Doves,Columbiformes,Columbidae,Ectopistes,EX,39,41,260,340,18,21.5
Inca dove,Scardafella inca,Pigeons/Doves,Columbiformes,Columbidae,Columbina,LC,16.5,23,30,58,28.5,32
Common ground dove,Columbina passerina,Pigeons/Doves,Columbiformes,Columbidae,Columbina,LC,15,18,26,40,27,27
White-winged dove,Zenaida asiatica,Pigeons/Doves,Columbiformes,Columbidae,Zenaida,LC,29,29,150,150,48,58
Mourning dove,Zenaida macroura,Pigeons/Doves,Columbiformes,Columbidae,Zenaida,LC,31,31,112,170,37,45
Groove-billed ani,Crotophaga sulcirostris,Cuckoos,Cuculiformes,Cuculidae,Crotophaga,LC,34,34,70,90,41,46
Black-billed cuckoo,Coccyzus erythropthalmus,Cuckoos,Cuculiformes,Cuculidae,Cuculidae,LC,28,32,45,55,44,44
Yellow-billed cuckoo,Coccyzus americanus,Cuckoos,Cuculiformes,Cuculidae,Coccyzus,LC,26,30,55,65,38,43
Common nighthawk,Chordeiles minor,Nightjars/Allies,Caprimulgiformes,Caprimulgidae,Chordeiles,LC,22,25,55,98,51,61
Common poorwill,Phalaenoptilus nuttallii,Nightjars/Allies,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,LC,18,18,36,58,30,30
Chuck-will's-widow,Antrostomus carolinensis,Nightjars/Allies,Caprimulgiformes,Caprimulgidae,Antrostomus,NT,28,33,66,188,58,66
Eastern whip-poor-will,Antrostomus vociferus,Nightjars/Allies,Caprimulgiformes,Caprimulgidae,Antrostomus,NT,22,27,42,69,45,50
Chimney swift,Chaetura pelagica,Swifts,Apodiformes,Apodidae,Chaetura,VU,12,15,17,30,27,30
White-throated swift,Aeronautes saxatalis,Swifts,Apodiformes,Apodidae,Aeronautes,LC,15,18,28,36,35.5,35.5
Mexican violetear,Colibri thalassinus,Hummingbirds,Apodiformes,Trochilidae,Colibri,LC,9.7,12,4.8,5.6,12,12
Rivoli's hummingbird,Eugenes fulgens,Hummingbirds,Apodiformes,Trochilidae,Eugenes,LC,11,14,6,10,18,18
Ruby-throated hummingbird,Archilochus colubris,Hummingbirds,Apodiformes,Trochilidae,Archilochus,LC,7,9,2,6,8,11
Anna's hummingbird,Calypte anna,Hummingbirds,Apodiformes,Trochilidae,Calypte,LC,9.9,10.9,3,6,12,12
Costa's hummingbird,Calypte costae,Hummingbirds,Apodiformes,Trochilidae,Calypte,LC,7.6,8.9,3.05,3.22,11,11
Calliope hummingbird,Selasphorus calliope,Hummingbirds,Apodiformes,Trochilidae,Selasphorus,LC,7,10,2,3,11,11
Rufous hummingbird,Selasphorus rufus,Hummingbirds,Apodiformes,Trochilidae,Selasphorus,NT,7,9,2,5,11,11
King rail,Rallus elegans,Rails/Gallinules/Coots,Gruiformes,Rallidae,Rallus,NT,15.5,19,290,290,48,48
Virginia rail,Rallus limicola,Rails/Gallinules/Coots,Gruiformes,Rallidae,Rallus,LC,20,27,65,95,32,38
Sora,Porzana carolina,Rails/Gallinules/Coots,Gruiformes,Rallidae,Porzana,LC,19,30,49,112,35,40
Common gallinule,Gallinula galeata,Rails/Gallinules/Coots,Gruiformes,Rallidae,Gallinula,LC,32,35,310,456,54,62
American coot,Fulica americana,Rails/Gallinules/Coots,Gruiformes,Rallidae,Fulica,LC,34,43,427,848,58,71
Purple gallinule,Porphyrio martinicus,Rails/Gallinules/Coots,Gruiformes,Rallidae,Porphyrio,LC,26,37,141,305,50,61
Yellow rail,Coturnicops noveboracensis,Rails/Gallinules/Coots,Gruiformes,Rallidae,Cotorunicops,LC,13,18,41,68,28,32
Black rail,Laterallus jamaicensis,Rails/Gallinules/Coots,Gruiformes,Rallidae,Laterallus,EN,10,15,29,39,22,28
Sandhill crane,Antigone canadensis,Cranes,Gruiformes,Gruidae,Antigone,LC,80,136,4020,4570,200,200
Whooping crane,Grus americana,Cranes,Gruiformes,Gruidae,Grus,EN,124,160,4500,8500,200,230
Black-necked stilt,Himantopus mexicanus,Stilts and avocets,Charadriiformes,Recurvirostridae,Himantopus,LC,35,39,150,176,71.5,75.5
American avocet,Recurvirostra americana,Stilts and avocets,Charadriiformes,Recurvirostridae,Recurvirostra,LC,40,51,275,420,68,76
Black-bellied plover,Pluvialis squatarola,Plovers/Lapwings,Charadriiformes,Charadriidae,Pluvialis,LC,27,30,190,280,71,83
American golden-plover,Pluvialis dominica,Plovers/Lapwings,Charadriiformes,Charadriidae,Pluvialis,LC,24,28,122,194,65,67
Killdeer,Charadrius vociferus,Plovers/Lapwings,Charadriiformes,Charadriidae,Charadrius,LC,20,28,72,121,59,63
Semipalmated plover,Charadrius semipalmatus,Plovers/Lapwings,Charadriiformes,Charadriidae,Charadrius,LC,14,20,22,63,35,56
Piping plover,Charadrius melodus,Plovers/Lapwings,Charadriiformes,Charadriidae,Charadrius,NT,15,19,42,64,35,41
Wilson's plover,Charadrius wilsonia,Plovers/Lapwings,Charadriiformes,Charadriidae,Charadrius,LC,16,20,55,70,48.2,48.2
Snowy plover,Charadrius nivosus,Plovers/Lapwings,Charadriiformes,Charadriidae,Charadrius,NT,15,17,32.5,58,34,43.2
Upland sandpiper,Bartramia longicauda,Sandpipers/Allies,Charadriiformes,Scolopacidae,Bartramia,LC,30,30,170,170,66,66
Whimbrel,Numenius phaeopus,Sandpipers/Allies,Charadriiformes,Scolopacidae,Numenius,LC,37,47,270,493,75,90
Eskimo curlew,Numenius borealis,Sandpipers/Allies,Charadriiformes,Scolopacidae,Numenius,CR,30,30,360,360,70,70
Long-billed curlew,Numenius americanus,Sandpipers/Allies,Charadriiformes,Scolopacidae,Numenius,LC,50,65,490,950,62,90
Hudsonian godwit,Limosa haemastica,Sandpipers/Allies,Charadriiformes,Scolopacidae,Limosa,LC,37,42,300,300,74,74
Marbled godwit,Limosa fedoa,Sandpipers/Allies,Charadriiformes,Scolopacidae,Limosa,LC,40,50,240,510,70,88
Ruddy turnstone,Arenaria interpres,Sandpipers/Allies,Charadriiformes,Scolopacidae,Arenaria,LC,22,24,85,150,50,57
Red knot,Calidris canutus,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,NT,23,26,100,200,47,53
Ruff,Calidris pugnax,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,29,32,180,180,54,60
Sharp-tailed sandpiper,Calidris acuminata,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,22,22,39,114,36,43
Stilt sandpiper,Calidris himantopus,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,20,23,50,70,38,41
Curlew sandpiper,Calidris ferruginea,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,NT,18,23,44,117,38,41
Sanderling,Calidris alba,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,18,22,60,60,43,43
Dunlin,Calidris alpina,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,16,22,48.7,75.9,36,38
Purple sandpiper,Calidris maritima,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,20,22,50,105,42,46
Baird's sandpiper,Calidris bairdii,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,18,19,38,38,43,43
Least sandpiper,Calidris minutilla,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,13,15,19,30,27,28
White-rumped sandpiper,Calidris fuscicollis,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,17,20,42,42,43,43
Buff-breasted sandpiper,Calidris subruficollis,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,NT,19,23,63,63,46,46
Pectoral sandpiper,Calidris melanotos,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,20,24,73,73,46,46
Semipalmated sandpiper,Calidris pusilla,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,NT,13,15,20,32,35,57
Western sandpiper,Calidris mauri,Sandpipers/Allies,Charadriiformes,Scolopacidae,Calidris,LC,14,17,22,35,35,37
Short-billed dowitcher,Limnodromus griseus,Sandpipers/Allies,Charadriiformes,Scolopacidae,Limnodromus,LC,23,32,73,155,46,56
Long-billed dowitcher,Limnodromus scolopaceus,Sandpipers/Allies,Charadriiformes,Scolopacidae,Limnodromus,LC,29,29,88,131,47,49
American woodcock,Scolopax minor,Sandpipers/Allies,Charadriiformes,Scolopacidae,Scolopax,LC,25,30,140,230,42,48
Wilson's snipe,Gallinago delicata,Sandpipers/Allies,Charadriiformes,Scolopacidae,Gallinago,LC,23,28,76,146,39,45
Spotted sandpiper,Actitis macularius,Sandpipers/Allies,Charadriiformes,Scolopacidae,Actitis,LC,18,20,34,50,37,40
Solitary sandpiper,Tringa solitaria,Sandpipers/Allies,Charadriiformes,Scolopacidae,Tringa,LC,18,23,31,65,50,50
Lesser yellowlegs,Tringa flavipes,Sandpipers/Allies,Charadriiformes,Scolopacidae,Tringa,LC,23,27,79.5,90.9,59,64
Willet,Tringa semipalmata,Sandpipers/Allies,Charadriiformes,Scolopacidae,Tringa,LC,33,41,200,330,70,70
Greater yellowlegs,Tringa melanoleuca,Sandpipers/Allies,Charadriiformes,Scolopacidae,Tringa,LC,29,40,111,250,60,60
Wilson's phalarope,Phalaropus tricolor,Sandpipers/Allies,Charadriiformes,Scolopacidae,Phalaropus,LC,22,24,38,110,39,43
Red-necked phalarope,Phalaropus lobatus,Sandpipers/Allies,Charadriiformes,Scolopacidae,Phalaropus,LC,17,20,35,35,38,38
Red phalarope,Phalaropus fulicarius,Sandpipers/Allies,Charadriiformes,Scolopacidae,Phalaropus,LC,20,23,55,55,43,43
Pomarine jaeger,Stercorarius pomarinus,Skuas and jaegers,Charadriiformes,Stercorariidae,Stercorarius,LC,46,67,540,920,110,138
Parasitic jaeger,Stercorarius parasiticus,Skuas and jaegers,Charadriiformes,Stercorariidae,Stercorarius,LC,41,48,300,650,107,125
Long-tailed jaeger,Stercorarius longicaudus,Skuas and jaegers,Charadriiformes,Stercorariidae,Stercorarius,LC,38,58,230,444,102,117
Dovekie,Alle alle,Auks/Murres/Puffins,Charadriiformes,Alcidae,Alle,LC,19,21,134,204,34,38
Black guillemot,Cepphus grylle,Auks/Murres/Puffins,Charadriiformes,Alcidae,Cepphus,LC,30,32,300,460,52,58
Long-billed murrelet,Brachyramphus perdix,Auks/Murres/Puffins,Charadriiformes,Alcidae,Brachyramphus,NT,25,25,310,210,43,43
Ancient murrelet,Synthliboramphus antiquus,Auks/Murres/Puffins,Charadriiformes,Alcidae,Synthliboramphus,LC,20,24,153,250,45,46
Black-legged kittiwake,Rissa tridactyla,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Rissa,VU,37,41,305,525,91,105
Ivory gull,Pagophila eburnea,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Pagophila,NT,40,43,448,687,108,120
Sabine's gull,Xema sabini,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Xema,LC,27,33,135,225,81,87
Bonaparte's gull,Chroicocephalus philadelphia,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Chroicocephalus,LC,28,38,180,225,76,84
Black-headed gull,Chroicocephalus ridibundus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Chroicocephalus,LC,38,44,190,400,94,105
Little gull,Hydrocoloeus minutus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Hydrocoloeus,LC,25,30,68,162,61,78
Ross's gull,Rhodostethia rosea,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Rhodostethia,LC,29,31,140,250,90,100
Laughing gull,Leucophaeus atricilla,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Leucophaeus,LC,36,41,203,371,98,110
Franklin's gull,Leucophaeus pipixcan,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Leucophaeus,LC,32,36,230,300,85,95
Mew gull,Larus canus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,40,46,290,586,96,125
Ring-billed gull,Larus delawarensis,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,43,54,300,700,105,117
California gull,Larus californicus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,46,55,430,1045,122,137
Herring gull,Larus argentatus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,53,66,600,1650,120,155
Iceland gull,Larus glaucoides,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,50,64,480,1100,115,150
Lesser black-backed gull,Larus fuscus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,51,64,452,1100,124,150
Slaty-backed gull,Larus schistisagus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,55,68.5,1050,1700,52,63
Glaucous-winged gull,Larus glaucescens,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,50,68,730,1690,120,150
Glaucous gull,Larus hyperboreus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,55,77,960,2700,132,170
Great black-backed gull,Larus marinus,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Larus,LC,64,79,750,2300,150,170
Least tern,Sternula antillarum,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Sternula,LC,22,24,39,52,50,50
Gull-billed tern,Gelochelidon nilotica,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Gelochelidon,LC,33,42,150,292,76,91
Caspian tern,Hydroprogne caspia,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Hydroprogne,LC,48,60,530,782,127,145
Black tern,Chlidonias niger,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Childonias,LC,25,25,62,62,61,61
Common tern,Sterna hirundo,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Sterna,LC,31,35,110,141,77,98
Arctic tern,Sterna paradisaea,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Sterna,LC,28,39,86,127,65,75
Forster's tern,Sterna forsteri,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Sterna,LC,33,36,130,190,64,70
Sandwich tern,Thalasseus sandvicensis,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Thalasseus,LC,37,43,180,300,85,97
Elegant tern,Thalasseus elegans,Gulls/Terns/Skimmers,Charadriiformes,Laridae,Thalasseus,NT,39,42,190,325,76,81
Red-throated loon,Gavia stellata,Loons,Gaviiformes,Gaviidae,Gavia,LC,53,69,1000,2700,91,120
Pacific loon,Gavia pacifica,Loons,Gaviiformes,Gaviidae,Gavia,LC,58,74,1000,2500,110,128
Common loon,Gavia immer,Loons,Gaviiformes,Gaviidae,Gavia,LC,66,91,2200,7600,127,147
Yellow-billed loon,Gavia adamsii,Loons,Gaviiformes,Gaviidae,Gavia,NT,76,97,4000,6400,135,160
Northern fulmar,Fulmarus glacialis,Shearwaters and petrels,Procellariiformes,Procellariidae,Fulmarus,LC,46,46,450,1000,102,112
Wood stork,Mycteria americana,Storks,Ciconiiformes,Ciconiidae,Mycteria,LC,83,115,2000,3300,140,180
Magnificent frigatebird,Fregata magnificens,Frigatebirds,Suliformes,Fregatidae,Fregata,LC,89,114,1100,1590,217,244
Double-crested cormorant,Phalacrocorax auritus,Cormorants/Shags,Suliformes,Phalacrocoracidae,Phalacrocorax,LC,70,90,1200,2500,114,123
Neotropic cormorant,Phalacrocorax brasilianus,Cormorants/Shags,Suliformes,Phalacrocoracidae,Phalacrocorax,LC,64,64,1000,1500,100,100
American white pelican,Pelecanus erythrorhynchos,Pelicans,Pelecaniformes,Pelecanidae,Pelecanus,LC,130,180,3500,13600,240,300
Brown pelican,Pelecanus occidentalis,Pelicans,Pelecaniformes,Pelecanidae,Pelecanus,LC,100,152,2000,5000,203,228
American bittern,Botaurus lentiginosus,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Botarus,LC,58,85,370,1072,92,115
Least bittern,Ixobrychus exilis,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Ixobrychus,LC,28,36,51,102,41,46
Great blue heron,Ardea herodias,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Ardea,LC,91,137,1820,3600,167,201
Great egret,Ardea alba,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Ardea,LC,80,104,700,1500,131,170
Snowy egret,Egretta thula,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Egretta,LC,56,66,370,370,100,100
Little blue heron,Egretta caerulea,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Egretta,LC,64,76,325,325,102,102
Tricolored heron,Egretta tricolor,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Egretta,LC,56,75,334,425,96,96
Cattle egret,Bubulcus ibis,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Bubulcus,LC,46,56,270,512,88,96
Green heron,Butorides virescens,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Butorides,LC,41,46,240,240,64,68
Black-crowned night-heron,Nycticorax nycticorax,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Nycticorax,LC,58,66,727,1014,115,118
Yellow-crowned night-heron,Nyctanassa violacea,Herons/Egrets/Bitterns,Pelecaniformes,Ardeidae,Nyctsnassa,LC,55,70,650,850,101,112
White ibis,Eudocimus albus,Ibises/Spoonbills,Pelecaniformes,Threskiornithidae,Eudocimus,LC,53,70,592.7,1261,90,105
Glossy ibis,Plegadis falcinellus,Ibises/Spoonbills,Pelecaniformes,Threskiornithidae,Plegadis,LC,48,66,485,970,80,105
White-faced ibis,Plegadis chihi,Ibises/Spoonbills,Pelecaniformes,Threskiornithidae,Plegadis,LC,46,56,450,525,90,93
Roseate spoonbill,Ajaia ajaja,Ibises/Spoonbills,Pelecaniformes,Threskiornithidae,Platalea,LC,71,86,1200,1800,120,133
Black vulture,Coragyps atratus,New World vultures,Cathartiformes,Cathartidae,Coragyps,LC,56,74,1600,3000,133,167
Turkey vulture,Cathartes aura,New World vultures,Cathartiformes,Cathartidae,Cathartes,LC,62,81,800,2410,160,183
Osprey,Pandion haliaetus,Osprey,Accipitriformes,Pandionidae,Pandion,LC,50,66,900,2100,127,180
White-tailed kite,Elanus leucurus,Hawks/Eagles,Accipitriformes,Accipitridae,Elanus,LC,35,43,250,380,88,102
Swallow-tailed kite,Elanoides forficatus,Hawks/Eagles,Accipitriformes,Accipitridae,Elanoides,LC,50,68,310,600,112,136
Golden eagle,Aquila chrysaetos,Hawks/Eagles,Accipitriformes,Accipitridae,Aquila,LC,66,102,2500,6350,180,234
Northern harrier,Circus hudsonius,Hawks/Eagles,Accipitriformes,Accipitridae,Circus,LC,41,52,290,750,97,122
Sharp-shinned hawk,Accipiter striatus,Hawks/Eagles,Accipitriformes,Accipitridae,Accipiter,LC,23,37,82,219,42,68
Cooper's hawk,Accipiter cooperii,Hawks/Eagles,Accipitriformes,Accipitridae,Accipiter,LC,35,50,215,701,62,99
Northern goshawk,Accipiter gentilis,Hawks/Eagles,Accipitriformes,Accipitridae,Accipiter,LC,46,69,357,1200,89,127
