Name,ScientificName,Category,Order,Family,Genus,ConservationStatus,MinLength,MaxLength,MinBodyMass,MaxBodyMass,MinWingspan,MaxWingspan
Black-bellied whistling-duck,Dendrocygna autumnalis,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Dendrocygna,LC,47,56,652,1020,76,94
Fulvous whistling-duck,Dendrocygna bicolor,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Dendrocygna,LC,45,53,712,1050,85,93
Snow goose,Anser caerulescens,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anser,LC,64,79,2050,4050,135,165
Ross's goose,Anser rossii,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anser,LC,57.3,64,1066,1567,113,116
Greater white-fronted goose,Anser albifrons,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anser,LC,64,81,1930,3310,130,165
Brant,Branta bernicla,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Branta,LC,55,66,880,2200,206,121
Cackling goose,Branta hutchinsii,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Branta,LC,63,65,1398,2380,108,111
Canada goose,Branta canadensis,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Branta,LC,75,110,2600,6500,127,185
Mute swan,Cygnus olor,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Cygnus,LC,125,170,9200,14300,200,240
Trumpeter swan,Cygnus buccinator,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Cygnus,LC,138,180,7000,13600,185,250
Tundra swan,Cygnus columbianus,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Cygnus,LC,115,150,3400,9600,168,211
Wood duck,Aix sponsa,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Aix,LC,47,54,454,862,66,73
Garganey,Spatula querquedula,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Spatula,LC,41,41,300,400,58,69
Blue-winged teal,Spatula discors,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Spatula,LC,40,40,370,370,58,58
Cinnamon teal,Spatula cyanoptera,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Spatula,LC,41,41,400,400,56,56
Northern shoveler,Spatula clypeata,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Spatula,LC,48,48,600,600,76,76
Gadwall,Mareca strepera,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Mareca,LC,46,56,850,990,78,90
Eurasian wigeon,Mareca penelope,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Mareca,LC,42,42,500,1073,71,80
American wigeon,Mareca americana,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Mareca,LC,42,59,512,1330,76,71
Mallard,Anas platyrhynchos,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anas,LC,50,65,720,1580,81,98
American black duck,Anas rubripes,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anas,LC,54,59,720,1640,88,95
Mottled duck,Anas fulvigula,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anas,LC,46.9,57.2,699,1241,80,87.2
Northern pintail,Anas acuta,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anas,LC,51,76,450,1360,80,95
Green-winged teal,Anas crecca,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Anas,LC,31,39,140,500,53,59
Canvasback,Aythya valisineria,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Aythya,LC,48,56,862,1600,79,89
Redhead,Aythya americana,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Aythya,LC,37,84,907,1134,84,84
Ring-necked duck,Aythya collaris,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Aythya,LC,39,46,490,910,62,63
Tufted duck,Aythya fuligula,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Aythya,LC,40.6,45.7,629,1026,19.4,21.2
Greater scaup,Aythya marila,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Aythya,LC,39,56,726,1360,71,84
Lesser scaup,Aythya affinis,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Aythya,LC,38,48,454,1089,19,20
King eider,Somateria spectabilis,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Somateria,LC,50,70,900,2200,86,102
Common eider,Somateria mollissima,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Somateria,NT,50,71,810,3040,80,110
Harlequin duck,Histrionicus histrionicus,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Histrionicus,LC,38,43,600,600,26,26
Surf scoter,Melanitta perspicillata,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Melanitta,LC,48,60,900,1293,76,77
White-winged scoter,Melanitta deglandi,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Melanitta,LC,48,60,950,2128,80,80
Black scoter,Melanitta americana,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Melanitta,NT,43,55,950,950,71,71
Long-tailed duck,Clangula hyemalis,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Clangula,VU,44,60,740,740,71,71
Bufflehead,Bucephala albeola,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Bucephala,LC,32,40,270,550,55,55
Common goldeneye,Bucephala clangula,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Bucephala,LC,45,51,1000,1000,77,83
Barrow's goldeneye,Bucephala islandica,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Bucephala,LC,43,49,590,970,70,73
Smew,Mergellus albellus,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Mergellus,LC,38,44,450,650,56,69
Hooded merganser,Lophodytes cucullatus,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Lophodytes,LC,40,49,453,879,60,66
Common merganser,Mergus merganser,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Mergus,LC,58,72,900,2100,78,97
Red-breasted merganser,Mergus serrator,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Mergus,LC,51,62,800,1350,70,86
Ruddy duck,Oxyura jamaicensis,Ducks/Geese/Waterfowl,Anseriformes,Anatidae,Oxyura,LC,34,43,560,560,47,47
Northern bobwhite,Colinus virginianus,New World quail,Galliformes,Odontophoridae,Colinus,NT,24,28,129,173,33,38
Wild turkey,Meleagris gallopavo,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Meleagris,LC,110,115,2500,10800,125,144
Ruffed grouse,Bonasa umbellus,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Bonasa,LC,40,50,450,750,50,64
Spruce grouse,Falcipennis canadensis,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Falcipennis,LC,38,43,450,650,54.5,57.5
Willow ptarmigan,Lagopus lagopus,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Lagopus,LC,35,44,430,810,60,65
Rock ptarmigan,Lagopus muta,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Lagopus,LC,34,36,440,640,54,60
Sharp-tailed grouse,Tympanuchus phasianellus,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Tympanuchus,LC,38.1,48.3,596,880,62,65
Greater prairie-chicken,Tympanuchus cupido,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Tympanuchus,VU,43,43,700,1200,69.5,72.5
Gray partridge,Perdix perdix,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Perdix,LC,30,33,385,500,53,56
Ring-necked pheasant,Phasianus colchicus,Pheasants/Grouse/Allies,Galliformes,Phasianidae,Phasianus,LC,60,89,500,3000,56,86
Pied-billed grebe,Podilymbus podiceps,Grebes,Podicipediformes,Podicipedidae,Podilymbus,LC,31,38,253,568,45,62
Horned grebe,Podiceps auritus,Grebes,Podicipediformes,Podicipedidae,Podiceps,VU,31,38,300,570,55,74
Red-necked grebe,Podiceps grisegena,Grebes,Podicipediformes,Podicipedidae,Podiceps,LC,40,50,692,925,77,85
Eared grebe,Podiceps nigricollis,Grebes,Podicipediformes,Podicipedidae,Podiceps,LC,28,34,265,450,52,55
Western grebe,Aechmorphorus occidentalis,Grebes,Podicipediformes,Podicipedidae,Aechmophorus,LC,55,75,795,2000,79,102
Clark's grebe,Aechmorphorus clarkii,Grebes,Podicipediformes,Podicipedidae,Aechmophorus,LC,56,74,718,1258,24,24
Rock pigeon,Columba livia,Pigeons/Doves,Columbiformes,Columbidae,Columba,LC,29,37,238,380,62,72
Band-tailed pigeon,Patagioenas fasciata,Pigeons/Doves,Columbiformes,Columbidae,Patagioenas,LC,33,40,225,515,26,26
