,id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,load_time
32,339027,2020-02-22,77794,1025.0,2359,112.0,,,09:54.1
33,339028,2020-02-23,78811,1017.0,2462,103.0,,,09:54.1
34,339029,2020-02-24,79331,520.0,2618,156.0,,,09:54.1
35,339030,2020-02-25,80239,908.0,2700,82.0,,,09:54.1
36,339031,2020-02-26,81109,870.0,2762,62.0,,,09:54.1
37,339032,2020-02-27,82294,1185.0,2804,42.0,,,09:54.1
38,339033,2020-02-28,83652,1358.0,2858,54.0,,,09:54.1
39,339034,2020-02-29,85403,1751.0,2924,66.0,,,09:54.1
40,339035,2020-01-03,87137,1734.0,2977,53.0,,,09:54.1
41,339036,2020-02-03,88948,1811.0,3043,66.0,,,09:54.1
42,339037,2020-03-03,90869,1921.0,3112,69.0,,,09:54.1
43,339038,2020-04-03,93091,2222.0,3198,86.0,,,09:54.1
44,339039,2020-05-03,95324,2233.0,3281,83.0,,,09:54.1
45,339040,2020-06-03,98192,2868.0,3380,99.0,,,09:54.1
46,339041,2020-07-03,101927,3735.0,3486,106.0,,,09:54.1
47,339042,2020-08-03,105586,3659.0,3584,98.0,,,09:54.1
48,339043,2020-09-03,109577,3991.0,3809,225.0,,,09:54.1
49,339044,2020-10-03,113702,4125.0,4012,203.0,,,09:54.1
50,339045,2020-11-03,118319,4617.0,4292,280.0,,,09:54.1
51,339046,2020-12-03,125260,6941.0,4613,321.0,,,09:54.1
52,339047,2020-03-13,132755,7495.0,4955,342.0,,,09:54.1
53,339048,2020-03-14,142534,9779.0,5392,437.0,,,09:54.1
54,339049,2020-03-15,153517,10983.0,5735,343.0,,,09:54.1
55,339050,2020-03-16,167515,13998.0,6606,871.0,,,09:54.1
56,339051,2020-03-17,179111,11596.0,7426,820.0,81727.0,,09:54.1
57,339052,2020-03-18,191127,12016.0,7807,381.0,84446.0,2719.0,09:54.1
58,150051,2020-03-19,244799,53672.0,10030,2223.0,87407.0,2961.0,09:54.1
59,204566,2020-03-20,275130,30331.0,11376,1346.0,90943.0,3536.0,09:54.1
60,325129,2020-03-21,304999,29869.0,13003,1627.0,94793.0,3850.0,09:54.1
61,444295,2020-03-22,335403,30404.0,14611,1608.0,97636.0,2843.0,09:54.1
62,612670,2020-03-23,378394,42991.0,16491,1880.0,101584.0,3948.0,09:54.1
63,797487,2020-03-24,417663,39269.0,18605,2114.0,108312.0,6728.0,09:54.1
64,993962,2020-03-25,463387,45724.0,20912,2307.0,113802.0,5490.0,09:54.1
65,1216984,2020-03-26,529614,66227.0,23714,2802.0,121454.0,7652.0,09:54.1
66,1367645,2020-03-27,587958,58344.0,26909,3195.0,132440.0,10986.0,09:54.1
67,1460188,2020-03-28,662541,74583.0,30839,3930.0,141468.0,9028.0,09:54.1
68,1673794,2020-03-29,720415,57874.0,33908,3069.0,150918.0,9450.0,09:54.1
69,1946924,2020-03-30,777286,56871.0,37140,3232.0,164446.0,13528.0,09:54.1
70,2209715,2020-03-31,856955,79669.0,42089,4949.0,177917.0,13471.0,09:54.1
71,2486437,2020-01-04,932605,75650.0,46809,4720.0,193259.0,15342.0,09:54.1
72,2769463,2020-02-04,1011490,78885.0,52863,6054.0,210186.0,16927.0,09:54.1
73,3090977,2020-03-04,1095917,84427.0,58787,5924.0,225796.0,15610.0,09:54.1
74,3429904,2020-04-04,1196553,100636.0,64549,5762.0,246108.0,20312.0,09:54.1
75,3750617,2020-05-04,1272115,75562.0,69309,4760.0,260012.0,13904.0,09:54.1
76,4016373,2020-06-04,1341907,69792.0,74565,5256.0,276259.0,16247.0,09:54.1
77,4309179,2020-07-04,1426096,84189.0,81259,6694.0,300054.0,23795.0,09:54.1
78,4551545,2020-08-04,1504971,78875.0,87984,6725.0,328661.0,28607.0,09:54.1
79,4728946,2020-09-04,1587209,82238.0,94850,6866.0,353291.0,24630.0,09:54.1
80,4898837,2020-10-04,1684833,97624.0,102136,7286.0,375499.0,22208.0,09:54.1
81,5310451,2020-11-04,1764622,79789.0,107904,5768.0,385999.0,10500.0,09:54.1
82,5134319,2020-12-04,1912923,148301.0,107904,0.0,421497.0,35498.0,09:54.1
83,5261547,2020-04-13,1970879,57956.0,118966,11062.0,448053.0,26556.0,09:54.1
84,5305989,2020-04-14,2056055,85176.0,125678,6712.0,472948.0,24895.0,09:54.1
85,5347997,2020-04-15,2151199,95144.0,133572,7894.0,511019.0,38071.0,09:54.1
86,5429132,2020-04-16,2234109,82910.0,143725,10153.0,541501.0,30482.0,09:54.1
87,5440228,2020-04-17,2310572,76463.0,153379,9654.0,567695.0,26194.0,09:54.1
88,5448942,2020-04-18,2394291,83719.0,158691,5312.0,590682.0,22987.0,09:54.1
89,5457903,2020-04-19,2470410,76119.0,164938,6247.0,611880.0,21198.0,09:54.1
90,5467891,2020-04-20,2560504,90094.0,169794,4856.0,645335.0,33455.0,09:54.1
91,5495212,2020-04-21,2628894,68390.0,176926,7132.0,679793.0,34458.0,09:54.1
92,5562397,2020-04-22,2699338,70444.0,182992,6066.0,709050.0,29257.0,09:54.1
93,6650426,2020-04-23,2790986,91648.0,188437,5445.0,737735.0,28685.0,09:54.1
94,6906714,2020-04-24,2868539,77553.0,195920,7483.0,781382.0,43647.0,09:54.1
95,6955177,2020-04-25,2965363,96824.0,201502,5582.0,811660.0,30278.0,09:54.1
96,7002306,2020-04-26,3002303,36940.0,206265,4763.0,863464.0,51804.0,09:54.1
97,7055144,2020-04-27,3083467,81164.0,208131,1866.0,878813.0,15349.0,09:54.1
98,7098114,2020-04-28,3170335,86868.0,213824,5693.0,915988.0,37175.0,09:54.1
99,7522181,2020-04-29,3249022,78687.0,224708,10884.0,958353.0,42365.0,09:54.1
100,7997577,2020-04-30,3303296,54274.0,230804,6096.0,1006112.0,47759.0,09:54.1
101,8479449,2020-01-05,3419184,115888.0,235290,4486.0,1039588.0,33476.0,09:54.1
102,8922151,2020-02-05,3502126,82942.0,243355,8065.0,1092644.0,53056.0,09:54.1
103,9388541,2020-03-05,3578301,76175.0,247107,3752.0,1124127.0,31483.0,09:54.1
104,9863005,2020-04-05,3659271,80970.0,251059,3952.0,1162279.0,38152.0,09:54.1
105,10308709,2020-05-05,3744585,85314.0,256736,5677.0,1197340.0,35061.0,09:54.1
106,10776908,2020-06-05,3836215,91630.0,263068,6332.0,1238250.0,40910.0,09:54.1
107,11286400,2020-07-05,3932896,96681.0,268999,5931.0,1278499.0,40249.0,09:54.1
108,11778334,2020-08-05,4018342,85446.0,274422,5423.0,1313004.0,34505.0,09:54.1
109,12224629,2020-09-05,4097158,78816.0,278756,4334.0,1363698.0,50694.0,09:54.1
110,12674148,2020-10-05,4168427,71269.0,282495,3739.0,1402882.0,39184.0,09:54.1
111,13152783,2020-11-05,4233504,65077.0,285445,2950.0,1452626.0,49744.0,09:54.1
