name,city,country
Belfast International Airport,Belfast,United Kingdom
St Angelo Airport,Belfast,United Kingdom
George Best Belfast City Airport,Belfast,United Kingdom
City of Derry Airport,Belfast,United Kingdom
Birmingham International Airport,Belfast,United Kingdom
Coventry Airport,Belfast,United Kingdom
Leicester Airport,Belfast,United Kingdom
Gloucestershire Airport,Belfast,United Kingdom
Wolverhampton Halfpenny Green Airport,Belfast,United Kingdom
Cotswold Airport,Belfast,United Kingdom
Turweston Airport,Belfast,United Kingdom
Wellesbourne Mountford Airport,Belfast,United Kingdom
Manchester Airport,Belfast,United Kingdom
Manchester Woodford Airport,Belfast,United Kingdom
Royal Marines Base Chivenor Airport,Belfast,United Kingdom
Newquay Cornwall Airport,Belfast,United Kingdom
RAF Lyneham,Belfast,United Kingdom
MoD Boscombe Down Airport,Belfast,United Kingdom
RNAS Culdrose,Belfast,United Kingdom
MoD St. Athan,Belfast,United Kingdom
RNAS Yeovilton,Belfast,United Kingdom
Haverfordwest Airport,Belfast,United Kingdom
Cardiff International Airport,Belfast,United Kingdom
Swansea Airport,Belfast,United Kingdom
Bristol Airport,Belfast,United Kingdom
Liverpool John Lennon Airport,Belfast,United Kingdom
London Luton Airport,Belfast,United Kingdom
Plymouth City Airport,Belfast,United Kingdom
Bournemouth Airport,Belfast,United Kingdom
Southampton Airport,Belfast,United Kingdom
Lasham Airport,Belfast,United Kingdom
Shoreham Airport,Belfast,United Kingdom
London Biggin Hill Airport,Belfast,United Kingdom
London Gatwick Airport,Belfast,United Kingdom
London City Airport,Belfast,United Kingdom
Farnborough Airport,Belfast,United Kingdom
Chalgrove Airport,Belfast,United Kingdom
Blackbushe Airport,Belfast,United Kingdom
London Heathrow Airport,Belfast,United Kingdom
Southend Airport,Belfast,United Kingdom
Lydd Airport,Belfast,United Kingdom
Kent International Airport,Belfast,United Kingdom
Brough Airport,Belfast,United Kingdom
Carlisle Airport,Belfast,United Kingdom
Retford Gamston Airport,Belfast,United Kingdom
Blackpool International Airport,Belfast,United Kingdom
Humberside Airport,Belfast,United Kingdom
Barrow Walney Island Airport,Belfast,United Kingdom
Leeds Bradford Airport,Belfast,United Kingdom
Warton Airport,Belfast,United Kingdom
Hawarden Airport,Belfast,United Kingdom
Newcastle Airport,Belfast,United Kingdom
Durham Tees Valley Airport,Belfast,United Kingdom
East Midlands Airport,Belfast,United Kingdom
Llanbedr Airport,Belfast,United Kingdom
RAF Ternhill,Belfast,United Kingdom
RAF Shawbury,Belfast,United Kingdom
RAF Woodvale,Belfast,United Kingdom
Kirkwall Airport,Belfast,United Kingdom
