name,city,country
Sumburgh Airport,Belfast,United Kingdom
Wick Airport,Belfast,United Kingdom
Aberdeen Dyce Airport,Belfast,United Kingdom
Inverness Airport,Belfast,United Kingdom
Glasgow International Airport,Belfast,United Kingdom
Edinburgh Airport,Belfast,United Kingdom
Islay Airport,Belfast,United Kingdom
Glasgow Prestwick Airport,Belfast,United Kingdom
Benbecula Airport,Belfast,United Kingdom
Scatsta Airport,Belfast,United Kingdom
Dundee Airport,Belfast,United Kingdom
Stornoway Airport,Belfast,United Kingdom
Tiree Airport,Belfast,United Kingdom
RAF Leuchars,Belfast,United Kingdom
RAF Lossiemouth,Belfast,United Kingdom
Cambridge Airport,Belfast,United Kingdom
Peterborough Business Airport,Belfast,United Kingdom
Norwich International Airport,Belfast,United Kingdom
London Stansted Airport,Belfast,United Kingdom
North Weald Airport,Belfast,United Kingdom
Sheffield City Heliport,Belfast,United Kingdom
Cranfield Airport,Belfast,United Kingdom
Exeter International Airport,Belfast,United Kingdom
Bristol Filton Airport,Belfast,United Kingdom
Oxford (Kidlington) Airport,Belfast,United Kingdom
RAF Benson,Belfast,United Kingdom
RAF Lakenheath,Belfast,United Kingdom
RAF Mildenhall,Belfast,United Kingdom
RAF Wattisham,Belfast,United Kingdom
RAF Wyton,Belfast,United Kingdom
RAF Fairford,Belfast,United Kingdom
RAF Brize Norton,Belfast,United Kingdom
RAF Odiham,Belfast,United Kingdom
DCAE Cosford Air Base,Belfast,United Kingdom
RAF Northolt,Belfast,United Kingdom
RAF Coningsby,Belfast,United Kingdom
RAF Dishforth,Belfast,United Kingdom
Leeming Airport,Belfast,United Kingdom
Leeds East Airport,Belfast,United Kingdom
RAF Honington,Belfast,United Kingdom
RAF Cottesmore,Belfast,United Kingdom
RAF Scampton,Belfast,United Kingdom
RAF Wittering,Belfast,United Kingdom
RAF Linton-On-Ouse,Belfast,United Kingdom
RAF Waddington,Belfast,United Kingdom
RAF Topcliffe,Belfast,United Kingdom
RAF Cranwell,Belfast,United Kingdom
RAF Barkston Heath,Belfast,United Kingdom
RAF Marham,Belfast,United Kingdom
Cork Airport,Belfast,United Kingdom
Galway Airport,Belfast,United Kingdom
Dublin Airport,Belfast,United Kingdom
Ireland West Knock Airport,Belfast,United Kingdom
Kerry Airport,Belfast,United Kingdom
Casement Air Base,Belfast,United Kingdom
Shannon Airport,Belfast,United Kingdom
Sligo Airport,Belfast,United Kingdom
Waterford Airport,Belfast,United Kingdom
Nottingham Airport,Belfast,United Kingdom
Campbeltown Airport,Belfast,United Kingdom
Eday Airport,Belfast,United Kingdom
Fair Isle Airport,Belfast,United Kingdom
North Ronaldsay Airport,Belfast,United Kingdom
Papa Westray Airport,Belfast,United Kingdom
Stronsay Airport,Belfast,United Kingdom
Sanday Airport,Belfast,United Kingdom
Lerwick / Tingwall Airport,Belfast,United Kingdom
Westray Airport,Belfast,United Kingdom
Penzance Heliport,Belfast,United Kingdom
Anglesey Airport,Belfast,United Kingdom
Barra Airport,Belfast,United Kingdom
Donegal Airport,Belfast,United Kingdom
Weston Airport,Belfast,United Kingdom
Outer Skerries Airport,Belfast,United Kingdom
Inishmore Aerodrome,Belfast,United Kingdom
Connemara Regional Airport,Belfast,United Kingdom
Unst Airport,Belfast,United Kingdom
Oban Airport,Belfast,United Kingdom
Isle of Wight / Sandown Airport,Belfast,United Kingdom
Lympne Airport,Belfast,United Kingdom
Inisheer Aerodrome,Belfast,United Kingdom
Inishmaan Aerodrome,Belfast,United Kingdom
Colonsay Airstrip,Belfast,United Kingdom
Tresco Heliport,Belfast,United Kingdom
London Heliport,Belfast,United Kingdom
White Waltham Airfield,Belfast,United Kingdom
Wycombe Air Park,Belfast,United Kingdom
Bembridge Airport,Belfast,United Kingdom
Compton Abbas Aerodrome,Belfast,United Kingdom
Glasgow City Heliport,Belfast,United Kingdom
Orlampa Inc Airport,Belfast,United Kingdom
Perth/Scone Airport,Belfast,United Kingdom
Caernarfon Airport,Belfast,United Kingdom
Newcastle Aerodrome,Belfast,United Kingdom
Bantry Aerodrome,Belfast,United Kingdom
Duxford Aerodrome,Belfast,United Kingdom
Fairoaks Airport,Belfast,United Kingdom
Rochester Airport,Belfast,United Kingdom
Rothera Research Station,Belfast,United Kingdom
Beccles Airport,Belfast,United Kingdom
RAF Brawdy,Belfast,United Kingdom
Redhill Aerodrome,Belfast,United Kingdom
Enstone Aerodrome,Belfast,United Kingdom
Elstree Airfield,Belfast,United Kingdom
Sandtoft Airfield,Belfast,United Kingdom
Popham Airfield,Belfast,United Kingdom
City Airport Manchester,Belfast,United Kingdom
Sleap Airport,Belfast,United Kingdom
Tatenhill Airfield,Belfast,United Kingdom
Full Sutton Airfield,Belfast,United Kingdom
Sherburn-In-Elmet Airfield,Belfast,United Kingdom
Shobdon Aerodrome,Belfast,United Kingdom
Newtownards Airport,Belfast,United Kingdom
Lashenden (Headcorn) Airfield,Belfast,United Kingdom
Panshanger Aerodrome,Belfast,United Kingdom
Thurrock Airfield,Belfast,United Kingdom
Stapleford Aerodrome,Belfast,United Kingdom
Chichester/Goodwood Airport,Belfast,United Kingdom
RAF Spadeadam,Belfast,United Kingdom
RAF Kinloss,Belfast,United Kingdom
RAF Mona,Belfast,United Kingdom
St. Helena Airport,Belfast,United Kingdom
Belfast International Airport,Enniskillen,United Kingdom
St Angelo Airport,Enniskillen,United Kingdom
George Best Belfast City Airport,Enniskillen,United Kingdom
City of Derry Airport,Enniskillen,United Kingdom
Birmingham International Airport,Enniskillen,United Kingdom
Coventry Airport,Enniskillen,United Kingdom
Leicester Airport,Enniskillen,United Kingdom
Gloucestershire Airport,Enniskillen,United Kingdom
Wolverhampton Halfpenny Green Airport,Enniskillen,United Kingdom
Cotswold Airport,Enniskillen,United Kingdom
Turweston Airport,Enniskillen,United Kingdom
Wellesbourne Mountford Airport,Enniskillen,United Kingdom
Manchester Airport,Enniskillen,United Kingdom
Manchester Woodford Airport,Enniskillen,United Kingdom
Royal Marines Base Chivenor Airport,Enniskillen,United Kingdom
Newquay Cornwall Airport,Enniskillen,United Kingdom
RAF Lyneham,Enniskillen,United Kingdom
MoD Boscombe Down Airport,Enniskillen,United Kingdom
RNAS Culdrose,Enniskillen,United Kingdom
MoD St. Athan,Enniskillen,United Kingdom
RNAS Yeovilton,Enniskillen,United Kingdom
Haverfordwest Airport,Enniskillen,United Kingdom
Cardiff International Airport,Enniskillen,United Kingdom
Swansea Airport,Enniskillen,United Kingdom
Bristol Airport,Enniskillen,United Kingdom
Liverpool John Lennon Airport,Enniskillen,United Kingdom
London Luton Airport,Enniskillen,United Kingdom
Plymouth City Airport,Enniskillen,United Kingdom
Bournemouth Airport,Enniskillen,United Kingdom
Southampton Airport,Enniskillen,United Kingdom
Lasham Airport,Enniskillen,United Kingdom
Shoreham Airport,Enniskillen,United Kingdom
London Biggin Hill Airport,Enniskillen,United Kingdom
London Gatwick Airport,Enniskillen,United Kingdom
London City Airport,Enniskillen,United Kingdom
Farnborough Airport,Enniskillen,United Kingdom
Chalgrove Airport,Enniskillen,United Kingdom
Blackbushe Airport,Enniskillen,United Kingdom
London Heathrow Airport,Enniskillen,United Kingdom
Southend Airport,Enniskillen,United Kingdom
Lydd Airport,Enniskillen,United Kingdom
Kent International Airport,Enniskillen,United Kingdom
Brough Airport,Enniskillen,United Kingdom
Carlisle Airport,Enniskillen,United Kingdom
Retford Gamston Airport,Enniskillen,United Kingdom
Blackpool International Airport,Enniskillen,United Kingdom
Humberside Airport,Enniskillen,United Kingdom
Barrow Walney Island Airport,Enniskillen,United Kingdom
Leeds Bradford Airport,Enniskillen,United Kingdom
Warton Airport,Enniskillen,United Kingdom
Hawarden Airport,Enniskillen,United Kingdom
Newcastle Airport,Enniskillen,United Kingdom
Durham Tees Valley Airport,Enniskillen,United Kingdom
East Midlands Airport,Enniskillen,United Kingdom
Llanbedr Airport,Enniskillen,United Kingdom
RAF Ternhill,Enniskillen,United Kingdom
RAF Shawbury,Enniskillen,United Kingdom
RAF Woodvale,Enniskillen,United Kingdom
Kirkwall Airport,Enniskillen,United Kingdom
Sumburgh Airport,Enniskillen,United Kingdom
Wick Airport,Enniskillen,United Kingdom
Aberdeen Dyce Airport,Enniskillen,United Kingdom
Inverness Airport,Enniskillen,United Kingdom
Glasgow International Airport,Enniskillen,United Kingdom
Edinburgh Airport,Enniskillen,United Kingdom
Islay Airport,Enniskillen,United Kingdom
Glasgow Prestwick Airport,Enniskillen,United Kingdom
Benbecula Airport,Enniskillen,United Kingdom
Scatsta Airport,Enniskillen,United Kingdom
Dundee Airport,Enniskillen,United Kingdom
Stornoway Airport,Enniskillen,United Kingdom
Tiree Airport,Enniskillen,United Kingdom
RAF Leuchars,Enniskillen,United Kingdom
RAF Lossiemouth,Enniskillen,United Kingdom
Cambridge Airport,Enniskillen,United Kingdom
Peterborough Business Airport,Enniskillen,United Kingdom
Norwich International Airport,Enniskillen,United Kingdom
London Stansted Airport,Enniskillen,United Kingdom
North Weald Airport,Enniskillen,United Kingdom
Sheffield City Heliport,Enniskillen,United Kingdom
Cranfield Airport,Enniskillen,United Kingdom
Exeter International Airport,Enniskillen,United Kingdom
Bristol Filton Airport,Enniskillen,United Kingdom
Oxford (Kidlington) Airport,Enniskillen,United Kingdom
RAF Benson,Enniskillen,United Kingdom
RAF Lakenheath,Enniskillen,United Kingdom
RAF Mildenhall,Enniskillen,United Kingdom
RAF Wattisham,Enniskillen,United Kingdom
RAF Wyton,Enniskillen,United Kingdom
RAF Fairford,Enniskillen,United Kingdom
RAF Brize Norton,Enniskillen,United Kingdom
RAF Odiham,Enniskillen,United Kingdom
DCAE Cosford Air Base,Enniskillen,United Kingdom
RAF Northolt,Enniskillen,United Kingdom
RAF Coningsby,Enniskillen,United Kingdom
RAF Dishforth,Enniskillen,United Kingdom
Leeming Airport,Enniskillen,United Kingdom
Leeds East Airport,Enniskillen,United Kingdom
RAF Honington,Enniskillen,United Kingdom
RAF Cottesmore,Enniskillen,United Kingdom
RAF Scampton,Enniskillen,United Kingdom
RAF Wittering,Enniskillen,United Kingdom
RAF Linton-On-Ouse,Enniskillen,United Kingdom
RAF Waddington,Enniskillen,United Kingdom
RAF Topcliffe,Enniskillen,United Kingdom
RAF Cranwell,Enniskillen,United Kingdom
RAF Barkston Heath,Enniskillen,United Kingdom
RAF Marham,Enniskillen,United Kingdom
Cork Airport,Enniskillen,United Kingdom
Galway Airport,Enniskillen,United Kingdom
Dublin Airport,Enniskillen,United Kingdom
Ireland West Knock Airport,Enniskillen,United Kingdom
Kerry Airport,Enniskillen,United Kingdom
Casement Air Base,Enniskillen,United Kingdom
Shannon Airport,Enniskillen,United Kingdom
Sligo Airport,Enniskillen,United Kingdom
Waterford Airport,Enniskillen,United Kingdom
Nottingham Airport,Enniskillen,United Kingdom
Campbeltown Airport,Enniskillen,United Kingdom
Eday Airport,Enniskillen,United Kingdom
Fair Isle Airport,Enniskillen,United Kingdom
North Ronaldsay Airport,Enniskillen,United Kingdom
Papa Westray Airport,Enniskillen,United Kingdom
Stronsay Airport,Enniskillen,United Kingdom
Sanday Airport,Enniskillen,United Kingdom
Lerwick / Tingwall Airport,Enniskillen,United Kingdom
Westray Airport,Enniskillen,United Kingdom
Penzance Heliport,Enniskillen,United Kingdom
Anglesey Airport,Enniskillen,United Kingdom
Barra Airport,Enniskillen,United Kingdom
Donegal Airport,Enniskillen,United Kingdom
Weston Airport,Enniskillen,United Kingdom
Outer Skerries Airport,Enniskillen,United Kingdom
Inishmore Aerodrome,Enniskillen,United Kingdom
Connemara Regional Airport,Enniskillen,United Kingdom
Unst Airport,Enniskillen,United Kingdom
Oban Airport,Enniskillen,United Kingdom
Isle of Wight / Sandown Airport,Enniskillen,United Kingdom
Lympne Airport,Enniskillen,United Kingdom
Inisheer Aerodrome,Enniskillen,United Kingdom
Inishmaan Aerodrome,Enniskillen,United Kingdom
Colonsay Airstrip,Enniskillen,United Kingdom
Tresco Heliport,Enniskillen,United Kingdom
London Heliport,Enniskillen,United Kingdom
White Waltham Airfield,Enniskillen,United Kingdom
Wycombe Air Park,Enniskillen,United Kingdom
Bembridge Airport,Enniskillen,United Kingdom
Compton Abbas Aerodrome,Enniskillen,United Kingdom
Glasgow City Heliport,Enniskillen,United Kingdom
Orlampa Inc Airport,Enniskillen,United Kingdom
Perth/Scone Airport,Enniskillen,United Kingdom
Caernarfon Airport,Enniskillen,United Kingdom
Newcastle Aerodrome,Enniskillen,United Kingdom
Bantry Aerodrome,Enniskillen,United Kingdom
Duxford Aerodrome,Enniskillen,United Kingdom
Fairoaks Airport,Enniskillen,United Kingdom
Rochester Airport,Enniskillen,United Kingdom
Rothera Research Station,Enniskillen,United Kingdom
Beccles Airport,Enniskillen,United Kingdom
RAF Brawdy,Enniskillen,United Kingdom
Redhill Aerodrome,Enniskillen,United Kingdom
Enstone Aerodrome,Enniskillen,United Kingdom
Elstree Airfield,Enniskillen,United Kingdom
Sandtoft Airfield,Enniskillen,United Kingdom
Popham Airfield,Enniskillen,United Kingdom
City Airport Manchester,Enniskillen,United Kingdom
Sleap Airport,Enniskillen,United Kingdom
Tatenhill Airfield,Enniskillen,United Kingdom
Full Sutton Airfield,Enniskillen,United Kingdom
Sherburn-In-Elmet Airfield,Enniskillen,United Kingdom
Shobdon Aerodrome,Enniskillen,United Kingdom
Newtownards Airport,Enniskillen,United Kingdom
Lashenden (Headcorn) Airfield,Enniskillen,United Kingdom
Panshanger Aerodrome,Enniskillen,United Kingdom
Thurrock Airfield,Enniskillen,United Kingdom
Stapleford Aerodrome,Enniskillen,United Kingdom
Chichester/Goodwood Airport,Enniskillen,United Kingdom
RAF Spadeadam,Enniskillen,United Kingdom
RAF Kinloss,Enniskillen,United Kingdom
RAF Mona,Enniskillen,United Kingdom
St. Helena Airport,Enniskillen,United Kingdom
Belfast International Airport,Londonderry,United Kingdom
St Angelo Airport,Londonderry,United Kingdom
George Best Belfast City Airport,Londonderry,United Kingdom
City of Derry Airport,Londonderry,United Kingdom
Birmingham International Airport,Londonderry,United Kingdom
Coventry Airport,Londonderry,United Kingdom
Leicester Airport,Londonderry,United Kingdom
Gloucestershire Airport,Londonderry,United Kingdom
Wolverhampton Halfpenny Green Airport,Londonderry,United Kingdom
Cotswold Airport,Londonderry,United Kingdom
Turweston Airport,Londonderry,United Kingdom
Wellesbourne Mountford Airport,Londonderry,United Kingdom
Manchester Airport,Londonderry,United Kingdom
Manchester Woodford Airport,Londonderry,United Kingdom
Royal Marines Base Chivenor Airport,Londonderry,United Kingdom
Newquay Cornwall Airport,Londonderry,United Kingdom
RAF Lyneham,Londonderry,United Kingdom
MoD Boscombe Down Airport,Londonderry,United Kingdom
RNAS Culdrose,Londonderry,United Kingdom
MoD St. Athan,Londonderry,United Kingdom
RNAS Yeovilton,Londonderry,United Kingdom
Haverfordwest Airport,Londonderry,United Kingdom
Cardiff International Airport,Londonderry,United Kingdom
Swansea Airport,Londonderry,United Kingdom
Bristol Airport,Londonderry,United Kingdom
Liverpool John Lennon Airport,Londonderry,United Kingdom
London Luton Airport,Londonderry,United Kingdom
Plymouth City Airport,Londonderry,United Kingdom
Bournemouth Airport,Londonderry,United Kingdom
Southampton Airport,Londonderry,United Kingdom
Lasham Airport,Londonderry,United Kingdom
Shoreham Airport,Londonderry,United Kingdom
London Biggin Hill Airport,Londonderry,United Kingdom
London Gatwick Airport,Londonderry,United Kingdom
London City Airport,Londonderry,United Kingdom
Farnborough Airport,Londonderry,United Kingdom
Chalgrove Airport,Londonderry,United Kingdom
Blackbushe Airport,Londonderry,United Kingdom
London Heathrow Airport,Londonderry,United Kingdom
Southend Airport,Londonderry,United Kingdom
Lydd Airport,Londonderry,United Kingdom
Kent International Airport,Londonderry,United Kingdom
Brough Airport,Londonderry,United Kingdom
Carlisle Airport,Londonderry,United Kingdom
Retford Gamston Airport,Londonderry,United Kingdom
Blackpool International Airport,Londonderry,United Kingdom
Humberside Airport,Londonderry,United Kingdom
Barrow Walney Island Airport,Londonderry,United Kingdom
Leeds Bradford Airport,Londonderry,United Kingdom
Warton Airport,Londonderry,United Kingdom
Hawarden Airport,Londonderry,United Kingdom
Newcastle Airport,Londonderry,United Kingdom
Durham Tees Valley Airport,Londonderry,United Kingdom
East Midlands Airport,Londonderry,United Kingdom
Llanbedr Airport,Londonderry,United Kingdom
RAF Ternhill,Londonderry,United Kingdom
RAF Shawbury,Londonderry,United Kingdom
RAF Woodvale,Londonderry,United Kingdom
Kirkwall Airport,Londonderry,United Kingdom
Sumburgh Airport,Londonderry,United Kingdom
Wick Airport,Londonderry,United Kingdom
Aberdeen Dyce Airport,Londonderry,United Kingdom
Inverness Airport,Londonderry,United Kingdom
Glasgow International Airport,Londonderry,United Kingdom
Edinburgh Airport,Londonderry,United Kingdom
Islay Airport,Londonderry,United Kingdom
Glasgow Prestwick Airport,Londonderry,United Kingdom
Benbecula Airport,Londonderry,United Kingdom
Scatsta Airport,Londonderry,United Kingdom
Dundee Airport,Londonderry,United Kingdom
Stornoway Airport,Londonderry,United Kingdom
Tiree Airport,Londonderry,United Kingdom
RAF Leuchars,Londonderry,United Kingdom
RAF Lossiemouth,Londonderry,United Kingdom
Cambridge Airport,Londonderry,United Kingdom
Peterborough Business Airport,Londonderry,United Kingdom
Norwich International Airport,Londonderry,United Kingdom
London Stansted Airport,Londonderry,United Kingdom
North Weald Airport,Londonderry,United Kingdom
Sheffield City Heliport,Londonderry,United Kingdom
Cranfield Airport,Londonderry,United Kingdom
Exeter International Airport,Londonderry,United Kingdom
Bristol Filton Airport,Londonderry,United Kingdom
Oxford (Kidlington) Airport,Londonderry,United Kingdom
RAF Benson,Londonderry,United Kingdom
RAF Lakenheath,Londonderry,United Kingdom
RAF Mildenhall,Londonderry,United Kingdom
RAF Wattisham,Londonderry,United Kingdom
RAF Wyton,Londonderry,United Kingdom
RAF Fairford,Londonderry,United Kingdom
RAF Brize Norton,Londonderry,United Kingdom
RAF Odiham,Londonderry,United Kingdom
DCAE Cosford Air Base,Londonderry,United Kingdom
RAF Northolt,Londonderry,United Kingdom
RAF Coningsby,Londonderry,United Kingdom
RAF Dishforth,Londonderry,United Kingdom
Leeming Airport,Londonderry,United Kingdom
Leeds East Airport,Londonderry,United Kingdom
RAF Honington,Londonderry,United Kingdom
RAF Cottesmore,Londonderry,United Kingdom
RAF Scampton,Londonderry,United Kingdom
RAF Wittering,Londonderry,United Kingdom
RAF Linton-On-Ouse,Londonderry,United Kingdom
RAF Waddington,Londonderry,United Kingdom
RAF Topcliffe,Londonderry,United Kingdom
RAF Cranwell,Londonderry,United Kingdom
RAF Barkston Heath,Londonderry,United Kingdom
RAF Marham,Londonderry,United Kingdom
Cork Airport,Londonderry,United Kingdom
Galway Airport,Londonderry,United Kingdom
Dublin Airport,Londonderry,United Kingdom
Ireland West Knock Airport,Londonderry,United Kingdom
Kerry Airport,Londonderry,United Kingdom
Casement Air Base,Londonderry,United Kingdom
Shannon Airport,Londonderry,United Kingdom
Sligo Airport,Londonderry,United Kingdom
Waterford Airport,Londonderry,United Kingdom
Nottingham Airport,Londonderry,United Kingdom
Campbeltown Airport,Londonderry,United Kingdom
Eday Airport,Londonderry,United Kingdom
Fair Isle Airport,Londonderry,United Kingdom
North Ronaldsay Airport,Londonderry,United Kingdom
Papa Westray Airport,Londonderry,United Kingdom
Stronsay Airport,Londonderry,United Kingdom
Sanday Airport,Londonderry,United Kingdom
Lerwick / Tingwall Airport,Londonderry,United Kingdom
Westray Airport,Londonderry,United Kingdom
Penzance Heliport,Londonderry,United Kingdom
Anglesey Airport,Londonderry,United Kingdom
Barra Airport,Londonderry,United Kingdom
Donegal Airport,Londonderry,United Kingdom
Weston Airport,Londonderry,United Kingdom
Outer Skerries Airport,Londonderry,United Kingdom
Inishmore Aerodrome,Londonderry,United Kingdom
Connemara Regional Airport,Londonderry,United Kingdom
Unst Airport,Londonderry,United Kingdom
Oban Airport,Londonderry,United Kingdom
Isle of Wight / Sandown Airport,Londonderry,United Kingdom
Lympne Airport,Londonderry,United Kingdom
Inisheer Aerodrome,Londonderry,United Kingdom
Inishmaan Aerodrome,Londonderry,United Kingdom
Colonsay Airstrip,Londonderry,United Kingdom
Tresco Heliport,Londonderry,United Kingdom
London Heliport,Londonderry,United Kingdom
White Waltham Airfield,Londonderry,United Kingdom
Wycombe Air Park,Londonderry,United Kingdom
Bembridge Airport,Londonderry,United Kingdom
Compton Abbas Aerodrome,Londonderry,United Kingdom
Glasgow City Heliport,Londonderry,United Kingdom
Orlampa Inc Airport,Londonderry,United Kingdom
Perth/Scone Airport,Londonderry,United Kingdom
Caernarfon Airport,Londonderry,United Kingdom
Newcastle Aerodrome,Londonderry,United Kingdom
Bantry Aerodrome,Londonderry,United Kingdom
Duxford Aerodrome,Londonderry,United Kingdom
Fairoaks Airport,Londonderry,United Kingdom
Rochester Airport,Londonderry,United Kingdom
Rothera Research Station,Londonderry,United Kingdom
Beccles Airport,Londonderry,United Kingdom
RAF Brawdy,Londonderry,United Kingdom
Redhill Aerodrome,Londonderry,United Kingdom
Enstone Aerodrome,Londonderry,United Kingdom
Elstree Airfield,Londonderry,United Kingdom
Sandtoft Airfield,Londonderry,United Kingdom
Popham Airfield,Londonderry,United Kingdom
City Airport Manchester,Londonderry,United Kingdom
Sleap Airport,Londonderry,United Kingdom
Tatenhill Airfield,Londonderry,United Kingdom
Full Sutton Airfield,Londonderry,United Kingdom
Sherburn-In-Elmet Airfield,Londonderry,United Kingdom
Shobdon Aerodrome,Londonderry,United Kingdom
Newtownards Airport,Londonderry,United Kingdom
Lashenden (Headcorn) Airfield,Londonderry,United Kingdom
Panshanger Aerodrome,Londonderry,United Kingdom
Thurrock Airfield,Londonderry,United Kingdom
Stapleford Aerodrome,Londonderry,United Kingdom
Chichester/Goodwood Airport,Londonderry,United Kingdom
RAF Spadeadam,Londonderry,United Kingdom
RAF Kinloss,Londonderry,United Kingdom
RAF Mona,Londonderry,United Kingdom
St. Helena Airport,Londonderry,United Kingdom
Belfast International Airport,Birmingham,United Kingdom
St Angelo Airport,Birmingham,United Kingdom
George Best Belfast City Airport,Birmingham,United Kingdom
City of Derry Airport,Birmingham,United Kingdom
Birmingham International Airport,Birmingham,United Kingdom
Coventry Airport,Birmingham,United Kingdom
Leicester Airport,Birmingham,United Kingdom
Gloucestershire Airport,Birmingham,United Kingdom
Wolverhampton Halfpenny Green Airport,Birmingham,United Kingdom
Cotswold Airport,Birmingham,United Kingdom
Turweston Airport,Birmingham,United Kingdom
Wellesbourne Mountford Airport,Birmingham,United Kingdom
Manchester Airport,Birmingham,United Kingdom
Manchester Woodford Airport,Birmingham,United Kingdom
Royal Marines Base Chivenor Airport,Birmingham,United Kingdom
Newquay Cornwall Airport,Birmingham,United Kingdom
RAF Lyneham,Birmingham,United Kingdom
MoD Boscombe Down Airport,Birmingham,United Kingdom
RNAS Culdrose,Birmingham,United Kingdom
MoD St. Athan,Birmingham,United Kingdom
RNAS Yeovilton,Birmingham,United Kingdom
Haverfordwest Airport,Birmingham,United Kingdom
Cardiff International Airport,Birmingham,United Kingdom
Swansea Airport,Birmingham,United Kingdom
Bristol Airport,Birmingham,United Kingdom
Liverpool John Lennon Airport,Birmingham,United Kingdom
London Luton Airport,Birmingham,United Kingdom
Plymouth City Airport,Birmingham,United Kingdom
Bournemouth Airport,Birmingham,United Kingdom
Southampton Airport,Birmingham,United Kingdom
Lasham Airport,Birmingham,United Kingdom
Shoreham Airport,Birmingham,United Kingdom
London Biggin Hill Airport,Birmingham,United Kingdom
London Gatwick Airport,Birmingham,United Kingdom
London City Airport,Birmingham,United Kingdom
Farnborough Airport,Birmingham,United Kingdom
Chalgrove Airport,Birmingham,United Kingdom
Blackbushe Airport,Birmingham,United Kingdom
London Heathrow Airport,Birmingham,United Kingdom
Southend Airport,Birmingham,United Kingdom
Lydd Airport,Birmingham,United Kingdom
Kent International Airport,Birmingham,United Kingdom
Brough Airport,Birmingham,United Kingdom
Carlisle Airport,Birmingham,United Kingdom
Retford Gamston Airport,Birmingham,United Kingdom
Blackpool International Airport,Birmingham,United Kingdom
Humberside Airport,Birmingham,United Kingdom
Barrow Walney Island Airport,Birmingham,United Kingdom
Leeds Bradford Airport,Birmingham,United Kingdom
Warton Airport,Birmingham,United Kingdom
Hawarden Airport,Birmingham,United Kingdom
Newcastle Airport,Birmingham,United Kingdom
Durham Tees Valley Airport,Birmingham,United Kingdom
East Midlands Airport,Birmingham,United Kingdom
Llanbedr Airport,Birmingham,United Kingdom
RAF Ternhill,Birmingham,United Kingdom
RAF Shawbury,Birmingham,United Kingdom
RAF Woodvale,Birmingham,United Kingdom
Kirkwall Airport,Birmingham,United Kingdom
Sumburgh Airport,Birmingham,United Kingdom
Wick Airport,Birmingham,United Kingdom
Aberdeen Dyce Airport,Birmingham,United Kingdom
Inverness Airport,Birmingham,United Kingdom
Glasgow International Airport,Birmingham,United Kingdom
Edinburgh Airport,Birmingham,United Kingdom
Islay Airport,Birmingham,United Kingdom
Glasgow Prestwick Airport,Birmingham,United Kingdom
Benbecula Airport,Birmingham,United Kingdom
Scatsta Airport,Birmingham,United Kingdom
