city
Belfast
Enniskillen
Londonderry
Birmingham
Coventry
Leicester
Golouchestershire
Halfpenny Green
Pailton
Turweston
Wellesbourne
Manchester
Woodfort
Chivenor
Newquai
Lyneham
Boscombe Down
Culdrose
St. Athan
Yeovilton
Haverfordwest
Cardiff
Swansea
Bristol
Liverpool
London
Plymouth
Bournemouth
Southampton
Lasham
Shoreham By Sea
Biggin Hill
Farnborough
Chalsgrove
Blackbushe
Southend
Lydd
Manston
Brough
Carlisle
Repton
Blackpool
Humberside
Barrow Island
Leeds
Warton
Hawarden
Newcastle
Teesside
East Midlands
Llanbedr
Ternhill
Shawbury
Woodvale
Kirkwall
Sumburgh
Wick
Aberdeen
Inverness
Glasgow
Edinburgh
Islay
Prestwick
Benbecula
Scatsta
Dundee
Stornoway
Tiree
Leuchars
Lossiemouth
Cambridge
Peterborough
Norwich
North Weald
Fowlmere
Cranfield
Exeter
Oxford
Benson
Lakenheath
Mildenhall
Wattisham
Wyton
Fairford
Brize Norton
Odiham
Cosford
Northolt
Coningsby
Dishforth
Leeming
Church Fenton
Honington
Cottesmore
Scampton
Wittering
Linton-on-ouse
Waddington
Topcliffe
Cranwell
Barkston Heath
Marham
Cork
Galway
Dublin
Connaught
Kerry
Casement
Shannon
Sligo
Waterford
Nottingham
Campbeltown
Eday
Fair Isle
North Ronaldsay
Papa Westray
Stronsay
Sanday
Lerwick
Westray
Penzance
Angelsey
Barra
Dongloe
Leixlip
Outer Skerries
Inis Mor
Indreabhan
Unst
North Connel
Isle Of Wight
Lympne
Inisheer
Inishmaan
Colonsay
Tresco
Maidenhead
Wycombe
Bembridge
Shaftesbury
Forties Alpha
Perth
Caernarfon
Bantry
Duxford
Fairoaks
Rochester
Rothera Research Station
Beccles
Brawdy
Redhill
Enstone
Elstree
Sandtoft
Popham
Shrewsbury
Burton-on-Trent
York
Shobdon
Newtownards
Headcorn
Panshanger
Thurrock
Stapleford
Goodwood
Spadeadam
Kinloss
Mona
Longwood
